year,count
1969,64
1971,67
1973,86
1975,149
1977,236
1979,256
1980,141
1981,257
1982,145
1983,391
1984,503
1985,305
1986,621
1987,430
1988,470
1989,628
1990,368
1991,819
1992,576
1993,802
1994,752
1995,560
1996,775
1997,1293
1998,1204
1999,1299
2000,1211
2001,1633
2002,1023
2003,1792
2004,2160
2005,2418
2006,2375
2007,3023
2008,2797
2009,2873
2010,2868
2011,3448
2012,3217
2013,3736
2014,4330
2015,5104
2016,4582
2017,5659
2018,6786
2019,8454
2020,9664
2021,10950
2022,11552
2023,14879
2024,16867
2025,16504
