venue,papers
IEEE Access,10616
Sensors,4605
Neurocomputing,4420
Neural Comput. Appl.,3336
Expert Syst. Appl.,3191
Remote. Sens.,2950
Multim. Tools Appl.,2540
Neural Networks,2256
Eng. Appl. Artif. Intell.,2109
IEEE Trans. Neural Networks Learn. Syst.,1609
Comput. Biol. Medicine,1490
Appl. Soft Comput.,1473
Biomed. Signal Process. Control.,1400
IEEE Trans. Geosci. Remote. Sens.,1168
Comput. Electron. Agric.,1133
J. Intell. Fuzzy Syst.,1068
Neural Process. Lett.,1055
IEEE Trans. Neural Networks,1031
SN Comput. Sci.,972
Knowl. Based Syst.,951
Inf. Sci.,900
J. Chem. Inf. Model.,888
Soft Comput.,825
Comput. Methods Programs Biomed.,783
IEEE Trans. Instrum. Meas.,783
Appl. Intell.,779
J. Supercomput.,717
BMC Medical Informatics Decis. Mak.,699
Inf.,699
IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,692
PeerJ Comput. Sci.,680
Bioinform.,679
IEEE Internet Things J.,673
BMC Bioinform.,665
IEEE Trans. Ind. Informatics,663
Briefings Bioinform.,656
Comput. Electr. Eng.,648
Symmetry,630
IEEE J. Biomed. Health Informatics,629
Complex.,602
Concurr. Comput. Pract. Exp.,587
Artif. Intell. Rev.,584
Future Gener. Comput. Syst.,583
Entropy,559
IEEE Trans. Intell. Transp. Syst.,557
Ecol. Informatics,556
Frontiers Artif. Intell.,531
Clust. Comput.,529
Algorithms,523
IEEE Geosci. Remote. Sens. Lett.,517
Appl. Math. Comput.,502
Artif. Intell. Medicine,501
Pattern Recognit.,495
npj Digit. Medicine,494
J. Big Data,476
Pattern Recognit. Lett.,476
Earth Sci. Informatics,471
Wirel. Pers. Commun.,469
Mach. Learn. Sci. Technol.,467
Neural Comput.,456
Comput.,451
Int. J. Neural Syst.,451
Signal Image Video Process.,445
Int. J. Medical Informatics,442
PLoS Comput. Biol.,438
Expert Syst. J. Knowl. Eng.,435
J. Ambient Intell. Humaniz. Comput.,423
J. Frankl. Inst.,420
Intell. Autom. Soft Comput.,416
J. Intell. Manuf.,415
Adv. Eng. Informatics,408
Int. J. Appl. Earth Obs. Geoinformation,408
ISPRS Int. J. Geo Inf.,395
Int. J. Pattern Recognit. Artif. Intell.,387
IEEE Trans. Ind. Electron.,385
Informatica (Slovenia),382
IEEE Trans. Veh. Technol.,372
J. Comput. Phys.,372
AI Soc.,370
Int. J. Comput. Intell. Syst.,349
IEEE Trans. Cybern.,345
Appl. Artif. Intell.,342
Comput. Intell. Neurosci.,340
Big Data Cogn. Comput.,336
IEEE Trans. Pattern Anal. Mach. Intell.,327
Int. J. Imaging Syst. Technol.,321
J. Medical Syst.,321
J. Circuits Syst. Comput.,321
J. Imaging,319
Scalable Comput. Pract. Exp.,319
Comput. Chem. Eng.,314
Medical Image Anal.,314
IEEE Trans. Medical Imaging,312
ACM Comput. Surv.,310
Reliab. Eng. Syst. Saf.,310
Comput. Ind. Eng.,307
NeuroImage,307
IEEE Trans. Fuzzy Syst.,304
J. Comput. Methods Sci. Eng.,304
BMC Medical Imaging,302
Future Internet,301
Comput. Syst. Sci. Eng.,300
Environ. Model. Softw.,299
IEEE Trans. Syst. Man Cybern. Syst.,297
Discov. Artif. Intell.,295
IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,295
AI Mag.,290
Adv. Intell. Syst.,287
J. Biomed. Informatics,287
Int. J. Mach. Learn. Cybern.,286
J. Am. Medical Informatics Assoc.,286
IEEE Trans. Circuits Syst. I Regul. Pap.,285
Comput. Geosci.,284
IEEE Trans. Knowl. Data Eng.,284
Inf. Fusion,284
Trans. Mach. Learn. Res.,281
Ann. Oper. Res.,278
Medical Biol. Eng. Comput.,276
J. Electronic Imaging,274
Sci. Program.,272
Educ. Inf. Technol.,270
Frontiers Comput. Neurosci.,260
J. Digit. Imaging,255
IEEE Trans. Circuits Syst. II Express Briefs,252
计算机科学,252
IEEE Trans. Wirel. Commun.,247
IEEE Trans. Biomed. Eng.,244
Computer,243
Comput. Secur.,240
Commun. Nonlinear Sci. Numer. Simul.,240
J. King Saud Univ. Comput. Inf. Sci.,238
IET Image Process.,235
IEEE Commun. Lett.,233
Int. J. Intell. Syst.,232
IEEE ACM Trans. Comput. Biol. Bioinform.,231
IEEE Wirel. Commun. Lett.,230
IEICE Trans. Inf. Syst.,228
Int. J. Online Biomed. Eng.,221
Comput. Networks,220
Mach. Learn.,220
Comput. Aided Civ. Infrastructure Eng.,219
Int. J. Comput. Assist. Radiol. Surg.,217
Knowl. Inf. Syst.,217
Cogn. Comput.,214
J. Mach. Learn. Res.,210
Adv. Eng. Softw.,209
Comput. Biol. Chem.,209
Int. J. Syst. Sci.,209
Inf. Process. Manag.,207
J. Adv. Comput. Intell. Intell. Informatics,207
Circuits Syst. Signal Process.,206
Mach. Learn. Knowl. Extr.,205
IEEE Trans. Image Process.,204
Proc. VLDB Endow.,204
IEEE Trans. Syst. Man Cybern. Part B,203
Image Vis. Comput.,200
Int. J. Commun. Syst.,198
Decis. Support Syst.,196
IEEE Trans. Computers,196
IEEE Robotics Autom. Lett.,194
Int. J. Bifurc. Chaos,194
Fuzzy Sets Syst.,192
IEEE ACM Trans. Audio Speech Lang. Process.,191
Internet Things,191
IEEE Trans. Artif. Intell.,190
Mob. Inf. Syst.,189
Comput. Commun.,188
IEEE Trans. Consumer Electron.,188
Int. J. Emerg. Technol. Learn.,188
Wirel. Commun. Mob. Comput.,188
J. Cheminformatics,187
KSII Trans. Internet Inf. Syst.,187
Big Data,183
J. Medical Imaging Health Informatics,182
Comput. Intell.,178
J. Imaging Inform. Medicine,177
Math. Comput. Simul.,177
Evol. Intell.,176
Int. J. Artif. Intell. Tools,176
IEEE Signal Process. Lett.,176
Microprocess. Microsystems,174
Vis. Comput.,174
Big Data Soc.,173
J. Comput. Sci.,173
Commun. ACM,172
Eur. J. Oper. Res.,172
Intell. Decis. Technol.,172
Sci. China Inf. Sci.,172
Nat. Mach. Intell.,172
IEEE Commun. Mag.,171
J. Vis. Commun. Image Represent.,170
IEEE Trans. Signal Process.,169
Mob. Networks Appl.,169
Comput. Medical Imaging Graph.,168
IEEE Trans. Circuits Syst. Video Technol.,168
Int. Arab J. Inf. Technol.,168
Int. J. Data Sci. Anal.,168
IEEE Trans. Parallel Distributed Syst.,167
J. Comput. Sci. Coll.,167
AI Ethics,165
Comput. J.,165
IEEE Trans. Inf. Forensics Secur.,165
IEEE Trans. Big Data,165
IEEE Netw.,164
IEEE Trans Autom. Sci. Eng.,163
Int. J. Inf. Commun. Technol.,163
Int. J. Syst. Assur. Eng. Manag.,160
Intell. Syst. Appl.,160
Patterns,160
IEEE Trans. Netw. Sci. Eng.,159
Int. J. Interact. Mob. Technol.,159
Int. J. Comput. Appl. Technol.,156
IEEE Trans. Emerg. Top. Comput. Intell.,155
J. Intell. Syst.,155
Trans. Emerg. Telecommun. Technol.,155
Syst.,155
Biol. Cybern.,154
Frontiers Neuroinformatics,154
Frontiers Neurorobotics,154
Frontiers Digit. Health,153
IEEE Trans. Netw. Serv. Manag.,153
IEEE Trans. Cogn. Commun. Netw.,153
Eng. Comput.,152
Digit. Signal Process.,151
IEEE Signal Process. Mag.,151
Int. J. Prod. Res.,150
IEEE Trans. Commun.,149
Complex Intell. Syst.,148
Wirel. Networks,148
Artif. Life Robotics,147
IEEE J. Sel. Areas Commun.,147
Frontiers Big Data,146
J. Sensors,145
J. Exp. Theor. Artif. Intell.,144
Autom. Control. Comput. Sci.,143
J. Comput. Appl. Math.,143
IEEE Trans. Comput. Soc. Syst.,142
IEEE Trans. Smart Grid,142
Autom.,139
IEEE Trans. Multim.,139
IEEE Trans. Aerosp. Electron. Syst.,138
IEEE Trans. Engineering Management,138
Turkish J. Electr. Eng. Comput. Sci.,138
SIGKDD Explor.,138
Robotica,136
Comput. Math. Appl.,135
Signal Process.,135
Multim. Syst.,135
Array,134
J. Parallel Distributed Comput.,134
Int. J. Circuit Theory Appl.,133
Int. J. Interact. Multim. Artif. Intell.,133
Artif. Intell.,132
Intell. Data Anal.,132
J. Intell. Robotic Syst.,132
IEEE Trans. Very Large Scale Integr. Syst.,131
J. Netw. Comput. Appl.,131
Secur. Commun. Networks,131
